date,strain,carbon_source,replicate,inducer_conc,elapsed_time_hr,od_600nm
2024-05-25,lacZ,glucose,1,0,0.0,0.041
2024-05-25,lacZ,glucose,1,0,0.4666666666666667,0.058
2024-05-25,lacZ,glucose,1,0,1.2333333333333334,0.091
2024-05-25,lacZ,glucose,1,0,1.65,0.116
2024-05-25,lacZ,glucose,1,0,1.95,0.145
2024-05-25,lacZ,glucose,1,0,2.3833333333333333,0.18
2024-05-25,lacZ,glucose,1,0,2.7333333333333334,0.225
2024-05-25,lacZ,glucose,1,0,3.1166666666666667,0.274
2024-05-25,lacZ,glucose,1,0,3.5,0.346
2024-05-25,lacZ,glucose,1,0,3.7666666666666666,0.409
2024-05-25,lacZ,glucose,2,0,0.0,0.047
2024-05-25,lacZ,glucose,2,0,0.7666666666666667,0.08
2024-05-25,lacZ,glucose,2,0,1.2,0.099
2024-05-25,lacZ,glucose,2,0,1.4833333333333334,0.114
2024-05-25,lacZ,glucose,2,0,1.9166666666666667,0.149
2024-05-25,lacZ,glucose,2,0,2.266666666666667,0.18
2024-05-25,lacZ,glucose,2,0,2.6666666666666665,0.225
2024-05-25,lacZ,glucose,2,0,3.033333333333333,0.278
2024-05-25,lacZ,glucose,2,0,3.35,0.34
2024-05-25,lacZ,glucose,2,0,3.633333333333333,0.391
2024-05-25,lacZ,glucose,2,0,3.75,0.405
2024-05-28,lacZ,glucose,1,1,0.0,0.046
2024-05-28,lacZ,glucose,1,1,0.45,0.059
2024-05-28,lacZ,glucose,1,1,0.7833333333333333,0.07
2024-05-28,lacZ,glucose,1,1,1.4833333333333334,0.104
2024-05-28,lacZ,glucose,1,1,1.8166666666666669,0.125
2024-05-28,lacZ,glucose,1,1,2.0500000000000003,0.144
2024-05-28,lacZ,glucose,1,1,2.333333333333333,0.167
2024-05-28,lacZ,glucose,1,1,2.6166666666666667,0.197
2024-05-28,lacZ,glucose,1,1,3.066666666666667,0.254
2024-05-28,lacZ,glucose,1,1,3.4,0.303
2024-05-28,lacZ,glucose,1,1,3.85,0.38
2024-05-28,lacZ,glucose,1,1,4.0,0.415
2024-05-28,lacZ,glucose,2,1,0.0,0.041
2024-05-28,lacZ,glucose,2,1,0.45,0.053
2024-05-28,lacZ,glucose,2,1,0.75,0.063
2024-05-28,lacZ,glucose,2,1,1.4666666666666666,0.095
2024-05-28,lacZ,glucose,2,1,1.8,0.11
2024-05-28,lacZ,glucose,2,1,2.0333333333333337,0.128
2024-05-28,lacZ,glucose,2,1,2.316666666666667,0.145
2024-05-28,lacZ,glucose,2,1,2.6166666666666667,0.176
2024-05-28,lacZ,glucose,2,1,3.05,0.219
2024-05-28,lacZ,glucose,2,1,3.3833333333333333,0.263
2024-05-28,lacZ,glucose,2,1,3.85,0.34
2024-05-28,lacZ,glucose,2,1,3.983333333333333,0.363
2024-05-28,lacZ,glucose,2,1,4.183333333333334,0.4
2024-05-29,lacZ,glucose,1,3,0.0,0.045
2024-05-29,lacZ,glucose,1,3,0.55,0.058
2024-05-29,lacZ,glucose,1,3,1.0666666666666669,0.073
2024-05-29,lacZ,glucose,1,3,2.433333333333333,0.136
2024-05-29,lacZ,glucose,1,3,2.833333333333333,0.157
2024-05-29,lacZ,glucose,1,3,3.2,0.191
2024-05-29,lacZ,glucose,1,3,3.433333333333333,0.215
2024-05-29,lacZ,glucose,1,3,3.7666666666666666,0.249
2024-05-29,lacZ,glucose,1,3,4.183333333333334,0.306
2024-05-29,lacZ,glucose,1,3,4.383333333333334,0.335
2024-05-29,lacZ,glucose,1,3,4.6,0.37
2024-05-29,lacZ,glucose,1,3,4.933333333333334,0.434
2024-05-26,lacZ,glucose,2,3,0.0,0.04
2024-05-26,lacZ,glucose,2,3,0.5333333333333334,0.05
2024-05-26,lacZ,glucose,2,3,1.05,0.06
2024-05-26,lacZ,glucose,2,3,1.5166666666666666,0.08
2024-05-26,lacZ,glucose,2,3,1.8666666666666667,0.093
2024-05-26,lacZ,glucose,2,3,2.2,0.111
2024-05-26,lacZ,glucose,2,3,2.45,0.12
2024-05-26,lacZ,glucose,2,3,2.7333333333333334,0.133
2024-05-26,lacZ,glucose,2,3,3.25,0.171
2024-05-26,lacZ,glucose,2,3,3.716666666666667,0.215
2024-05-26,lacZ,glucose,2,3,4.05,0.243
2024-05-26,lacZ,glucose,2,3,4.433333333333334,0.295
2024-05-26,lacZ,glucose,2,3,4.866666666666666,0.363
2024-05-26,lacZ,glucose,2,3,5.166666666666667,0.421
2024-05-25,lacZ,glucose,1,5,0.0,0.041
2024-05-25,lacZ,glucose,1,5,0.3,0.047
2024-05-25,lacZ,glucose,1,5,0.7166666666666667,0.057
2024-05-25,lacZ,glucose,1,5,1.0833333333333337,0.06
2024-05-25,lacZ,glucose,1,5,1.4666666666666666,0.072
